Area,Year,Total,Male,Female
Afghanistan,2021,86.135,82.645,97.295
Angola,2025,94.488,91.92,96.942
Argentina,2025,52.818,52.907,52.705
Armenia,2017,76.143,75.15,77.234
Antigua and Barbuda,2018,12.762,18.221,7.715
Austria,2024,3.38,3.252,3.53
Burundi,2014,98.044,97.086,98.831
Belgium,2024,3.266,2.983,3.567
Benin,2022,96.347,94.378,98.156
Burkina Faso,2025,94.73,92.822,96.723
Bangladesh,2024,84.037,78.132,95.971
Bulgaria,2024,4.146,4.951,3.244
Bahamas,2019,18.252,20.494,15.836
Bosnia and Herzegovina,2024,16.567,13.403,21.26
"Bolivia, Plurinational State of",2024,83.875,81.888,86.05
Brazil,2025,35.615,37.23,33.507
Barbados,2016,61.775,63.227,60.332
Brunei Darussalam,2024,21.392,21.774,20.817
Botswana,2024,75.582,78.435,72.545
Switzerland,2024,1.093,1.208,0.963
Chile,2025,26.368,25.057,28.093
Côte d'Ivoire,2022,92.125,89.237,95.448
Cameroon,2014,87.099,82.781,91.666
"Congo, Democratic Republic of the",2020,96.298,95.238,97.406
Congo,2009,85.278,88.345,82.868
Cook Islands,2023,40.178,42.084,38.232
Colombia,2025,56.012,58.188,52.947
Comoros,2021,88.809,86.662,91.603
Cape Verde,2015,60.587,60.52,60.656
Costa Rica,2025,36.11,37.376,34.133
Cyprus,2024,2.645,2.584,2.71
Czechia,2024,3.798,2.998,4.75
Germany,2022,3.949,3.79,4.137
Djibouti,2017,47.616,43.099,61.147
Denmark,2019,7.072,8.464,5.544
Dominican Republic,2025,53.504,57.811,47.66
Ecuador,2025,68.45,67.661,69.585
Egypt,2024,68.613,67.919,70.975
Spain,2024,3.846,3.949,3.726
Estonia,2024,5.984,7.893,4.071
Ethiopia,2021,77.654,74.349,82.183
Finland,2024,2.001,2.409,1.569
Fiji,2024,45.702,49.884,37.335
France,2024,3.776,3.892,3.652
Gabon,2024,86.054,83.816,89.004
United Kingdom of Great Britain and Northern Ireland,2018,19.81,22.082,17.305
Georgia,2024,51.46,53.455,49.333
Ghana,2015,78.051,77.206,78.79
Gambia,2025,84.055,78.952,89.548
Guinea-Bissau,2022,94.774,92.188,97.391
Greece,2024,4.335,3.647,5.252
Grenada,2023,48.048,57.157,36.497
Guatemala,2024,75.932,73.202,79.526
Guyana,2021,51.248,56.869,42.215
Honduras,2017,82.612,83.609,80.991
Croatia,2024,5.307,6.005,4.513
Haiti,2012,91.607,89.252,94.71
Hungary,2020,9.858,11.513,7.915
Indonesia,2023,80.975,79.955,82.561
India,2025,87.197,85.816,90.238
