Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,08-04-2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Aruba,ABW,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,73.81721924,74.02110733,74.12874077,74.48707847,74.78887249,74.6924995,74.58561468,74.5281798,74.49658134,74.52512651,74.60658932,74.63346748,74.69430642,74.70573425,74.80553232,74.7475675,74.46434453,74.32522812,74.35593216,74.46919153,74.42380856,74.19298907,73.97081383,73.59146475,73.32888888,73.35739914,73.33558011,73.33127303,73.495688,74.54229771,74.56744059,74.36825191,75.06335421,74.84188428,74.7313153
Afghanistan,AFG,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,95.44029705,95.51088954,95.54704891,95.62398605,95.63028053,95.54170007,95.38811535,95.2038098,94.99652875,94.77051631,94.74476501,94.48432887,94.19454932,93.95579803,93.6182147,93.2876166,92.84622686,92.45100299,91.34317989,90.14450422,89.1055738,88.04834789,87.14442153,86.3706439,85.6275716,84.86485011,83.91969681,83.98254576,83.98034517,84.33396895,82.30202206,82.75286725,83.11672981,83.35862597,83.4001611
Africa Western and Central,AFW,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,90.35613804,90.21130168,90.11318821,90.02774725,89.89814915,89.74338084,89.55303383,89.34880354,89.11176519,88.83935167,88.58155181,88.24012705,87.83757454,87.41956942,87.00702486,86.61120973,86.25916157,85.90034474,85.56763055,85.17665115,84.8150069,84.56188977,84.21020701,83.9451497,83.64012181,83.325552,82.99752009,82.63918894,82.33824088,83.17980933,82.38217269,81.96523517,81.81571883,81.60591315,81.34133194
Angola,AGO,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,88.54689627,88.60000124,89.09903802,89.51729095,89.6297782,89.47218703,89.18416201,88.8474178,88.56003231,88.27709513,88.00015919,87.59427034,87.25960715,86.85910556,86.33942398,85.82315102,85.25540293,84.50292805,83.78269364,83.30048537,83.03987309,80.28170188,77.50777062,74.67643811,74.5909932,74.61433727,74.67300422,74.77784787,74.84737434,75.42189707,75.30910518,75.84512888,75.89290556,75.85784915,75.90495956
Albania,ALB,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,62.41226318,62.66307404,62.73483775,62.58855634,62.19164805,61.72626193,61.44107942,61.05888187,60.57824715,60.10520994,59.60618965,59.07414629,58.62364233,58.63933168,58.43930048,57.93967069,58.11680825,60.17082817,58.2901728,56.70158069,61.07850487,63.0601153,59.51817468,57.92614554,58.81251228,58.60424479,55.82159142,55.48093956,54.26824937,53.84152328,52.11351152,52.95840597,50.9567888,50.60597384,50.27966489
Andorra,AND,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,38.57911575,38.24288106,38.14475442,37.7906354,37.5244696,36.95191954,36.33450609,36.12001627,35.43378633,35.4751323,34.83353916,34.81987926,34.94399212,34.94612226,33.58873466,32.67599261,33.06243388,31.90618749,31.50758915,30.73419605,30.47175286,29.50110604,29.25383595,29.26273287,28.39160481,28.18768425,28.53817635,28.5027663,28.42169134,28.04185711,28.10576938,27.64353524,25.91070933,25.74207265,25.6437093
United Arab Emirates,ARE,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,3.294346309,3.328631246,3.420792075,3.458104147,3.443376533,3.388020634,3.305162117,3.377064048,3.453453938,3.411467177,3.508216197,3.667430199,3.750460425,3.746615284,3.686792855,3.911429568,4.31423326,4.776902472,4.871831302,4.836545238,4.659025428,4.508462834,4.306536462,3.44618065,3.564270618,3.567870551,3.512061056,3.973902167,4.941873738,4.779120325,4.411778684,4.87577316,5.168662792,5.140968955,5.066309758
Argentina,ARG,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,29.34367444,29.26660129,29.12720417,28.89520926,28.74579991,28.60946324,27.66158075,27.25447244,26.95897884,27.0138603,27.58125183,27.72936143,25.72329488,25.6169359,25.25130107,24.35228575,23.64322473,23.68282445,24.04348142,23.55722621,23.09969625,22.99516336,23.5474301,23.65347351,24.20297299,24.79366863,25.34000071,25.52882966,26.50717362,26.99998632,27.58893332,26.71035208,25.75329072,25.72312608,25.57573921
Armenia,ARM,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,50.64195509,51.56154599,52.2825959,52.854824,53.08519397,53.05232322,52.89672164,52.54580494,52.1797059,51.7919797,51.32942552,50.76473624,50.10121323,49.44094507,48.71552945,47.98215371,47.19490857,46.47008476,46.18938617,47.3671224,48.11033281,47.44635308,46.35681331,46.15369729,44.81321509,43.95616026,42.34782119,42.01463138,39.45899821,39.70162491,36.78798818,36.32661466,34.82288158,34.31358861,33.66437435
American Samoa,ASM,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,21.93583099,21.9529214,21.97066783,21.81341372,21.63640949,21.52809088,21.35056475,21.09257516,20.92266339,20.69223814,20.43633256,20.19697946,19.07087773,19.75069588,18.82992615,18.71680021,17.01395503,16.50021652,17.41473574,17.17069534,17.57654899,16.66835605,16.82976578,16.59599444,16.60863787,16.96211524,16.88188224,16.62347851,16.8063765,16.70133867,16.79070614,16.52415899,16.34471376,16.21810869,16.10489645
Austria,AUT,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,15.15276185,15.33295503,16.23256406,16.01684319,16.17089246,16.31518584,15.73120876,15.46943602,15.3818663,15.22058289,15.03014685,14.97306509,14.51214388,14.40951022,15.09412328,15.42472174,15.309088,15.05844389,15.02346636,15.2037565,14.4710712,14.1083992,14.10966724,14.20003536,13.81280022,13.47542567,13.13123376,12.78226977,12.77564245,12.86868681,12.7331644,12.5336054,12.23846033,12.20621423,12.19554972
Azerbaijan,AZE,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,64.38505989,64.75349278,65.50815818,66.50759742,67.49101058,68.22473375,68.72586265,68.93116216,68.81575507,68.42016874,69.03425909,69.43603393,68.92939613,68.53544759,68.06981031,67.92287199,67.66704827,67.60373209,67.56760521,68.05525168,68.28772833,66.69161483,66.51324779,66.77442273,67.73767578,68.18538118,68.26318338,68.31499831,68.30703701,68.07475965,67.62698565,67.50454953,67.34818928,67.17707611,66.98327059
Burundi,BDI,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,86.45333732,86.43144759,86.46409107,86.54352749,86.82302975,87.16996404,87.4339829,87.5790173,87.70226242,87.80838356,87.88954967,87.88588858,87.90611086,87.90659376,87.90221685,87.88423203,87.83964041,87.8045253,87.7503229,87.72005045,87.65536277,87.54588894,87.41706151,87.27337293,86.94776159,86.62614415,86.32367634,86.01844784,85.71538552,85.46832713,84.97944811,84.97779765,84.97394004,84.91547445,84.85011684
Belgium,BEL,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,17.26137542,17.85877611,17.91332027,17.72154625,17.9406277,17.98625702,17.21853823,17.37082738,17.2702546,16.04443541,15.21821529,15.43699227,15.15432953,14.70136778,15.22970466,15.07851962,14.82707,14.22500399,14.79908741,14.36070797,14.3014689,14.34585867,15.07935775,14.61331209,15.17905153,14.83080232,14.48677417,14.57813968,14.78397155,15.45676281,14.50878221,15.26739294,14.74467444,14.68032387,14.5914614
Benin,BEN,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,87.09551885,86.97594163,86.88631874,86.64102969,86.55579818,86.43709109,86.3009673,86.18707457,86.0591842,85.90197166,85.74078118,85.58112604,85.43239603,85.30044249,85.19548199,85.10845828,84.99415963,84.86867346,84.75485827,84.65508398,84.55949771,84.44631524,84.25949541,84.04597663,83.86238293,83.64277433,83.3723524,83.0587014,82.7209599,83.09427889,81.89426705,80.82642979,80.53008253,80.22669767,79.83483468
Burkina Faso,BFA,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,86.02853246,85.9349129,85.84412352,85.75215815,85.6581995,85.45509297,85.18712608,84.89298884,84.57527888,84.33129259,84.07243247,83.83332713,83.55868974,83.34035823,83.09434624,82.83735017,82.81745701,82.83878099,82.88032711,82.8580307,82.82816075,82.82486656,82.83640811,82.83754498,82.86089856,82.87033136,82.86576842,82.83754182,82.83753855,84.16083484,83.38188713,82.83754372,82.83755583,82.83755378,82.59850037
